ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
Konios Project,KON,N/A,N/A,N/A,29000000 USD,N/A,3050000739376712900000000 ETH,2900000000,2900000000 USD,0%,-,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,4.0,N/A,4.0,4.0,-,-,-,2.8,2018-09-30
Velix.ID,VXD,N/A,N/A,N/A,23800000 USD,2500000 USD,2500000 USD,N/A,2380000000 USD,9%,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,Benchy,4.3,N/A,4.1,4.5,-,-,-,4.2,2018-05-15
TraDove,BBC,Ethereum,ERC20,USA,N/A,N/A,N/A,N/A,5200000000 USD,63%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,8,N/A,N/A,9.6,N/A,N/A,-,-,-,N/A,2018-02-28
Enlte (ENLTE),ENLTE,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,1600000000 USD,43%,VERY HIGH,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.4,7.4,4.7,N/A,2018-09-01
Jibbit,JIB,Ethereum,ERC20,Germany,3000000 USD,1000000 USD,920000 USD,350000000,350000000 USD,N/A,LOW,LOW,LOW,-,-,8,Benchy,4.7,9,3.9,3.9,4.1,8.7,-,4.1,2018-12-15
Project Shivom,OMX,N/A,N/A,N/A,35000000 USD,15000 ETH,35000000 USD,N/A,3500000000 USD,100%,HIGH,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,4.1,N/A,3.6,4.3,-,-,-,3.8,2018-05-06
Nafen,NFN,Ethereum,ERC20,Estonia,"14,000,000 EUR","2,500,000 EUR",N/A,1708000000,305000000 USD,17%,-,-,-,-,-,7,Benchy,4.4,10,4.2,4.3,4.2,8.4,-,4.2,"May, 2018"
idap.io,IDAP,N/A,N/A,N/A,N/A,N/A,70000400000000 USD,1000000000,200000000 USD,N/A,HIGH,-,-,-,-,N/A,Benchy,4.0,N/A,3.2,4.0,3.6,9.1,-,3.6,2018-05-15
EOT,EOT,Ethereum,ERC20,Singapore,N/A,N/A,N/A,1200000000,400000000 USD,N/A,MEDIUM,HIGH,HIGH,-,-,9,N/A,N/A,10,N/A,N/A,4.3,9.3,-,N/A,"Sep, 2018"
Efir,,Ethereum,ERC20,Russia,15000 ETH,1250 ETH,317668 USD,1500000,1500000 ETH,8%,VERY HIGH,HIGH,HIGH,-,-,9,Benchy,N/A,10,N/A,N/A,3.9,9.1,2.4,3.9,2018-09-30
L-pesa,LPK,Ethereum,ERC20,Gibraltar,52000000 USD,50000 USD,7961200 USD,N/A,5200000000 USD,40%,VERY HIGH,-,-,-,-,8,Benchy,4.1,10,3.7,4.3,-,-,-,3.7,2018-05-10
FTEC,FTEC,Ethereum,ERC20,UK,26500 ETH,2000 ETH,995000 USD,N/A,2650000 ETH,7%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,10,Benchy,4.6,10,4.5,4.8,-,-,-,4.5,2018-07-18
Datablockchain,DBCCOIN,Ethereum,ERC20,Cayman Islands,50000000 USD,10000000 USD,,N/A,N/A,N/A,MEDIUM,VERY LOW,VERY LOW,-,-,10,Benchy,4.7,10,4.6,4.7,4.6,9.6,-,4.6,2018-12-31
Mozo,MOZO,Ethereum,ERC-20,Singapore,N/A,N/A,N/A,N/A,4600000000 USD,80%,-,LOW,LOW,-,-,8,N/A,N/A,10,N/A,N/A,-,-,-,N/A,"Dec, 2018"
DACC,DACC,N/A,N/A,N/A,30000 ETH,20000 ETH,4746941 USD,3000000,2000000 ETH,26%,-,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.7,2018-06-30
Ubex (UBEX),UBEX,N/A,N/A,N/A,N/A,N/A,N/A,2880000,400000 ETH,93%,LOW,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-09-30
