ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,ih_end_date

EOZ,,Scrypt,Hybrid (PoW+PoS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,6,N/A,N/A,1,N/A,N/A,N/A,4.6,-,N/A,2018-03-19
Sorbase,SOR,Ethereum,ERC20,N/A,105000 ETH,4000 ETH,19438940 USD,N/A,10500000,N/A,-,VERY LOW,VERY LOW,-,-,2,Benchy,N/A,10,N/A,N/A,2.8,5.1,-,2.8,2018-01-06
Edgecoin Pre ICO,EST,N/A,N/A,N/A,N/A,N/A,N/A,800000,100000,N/A,MEDIUM,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-04-01
Totum,TMC,Ethereum,ERC20,Russia,N/A,N/A,Unknown,4950000,330000,N/A,VERY HIGH,-,-,-,-,1,Benchy,2.5,9,3.5,4.0,2.9,5.1,-,2.9,2018-01-31
FreelancerCoin,LAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-02-28
Pitch ICO,PITCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-07-01
Substratum,SUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,-,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-01-14
ClassyCoin,CLASSYCOIN,Ethereum,ERC20,Australia,100,000,000,20,000,000,Unknown,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,-,10,Benchy,N/A,1,N/A,N/A,-,-,-,2.0,2018-06-10
Fortitude Ranch,FR,N/A,N/A,N/A,15000000 USD,2000000 USD,250000 USD,1500000000,200000000,N/A,-,-,-,-,-,N/A,Benchy,4.0,N/A,4.0,4.0,2.9,6.2,3.3,2.9,2018-01-30
Lucid Exchange,TRDX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.0,7.1,3.2,N/A,2018-08-01
Bitplus Network,BPNT,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,3.0,N/A,3.0,3.0,2.8,6.5,3.0,2.8,2018-01-02
KWHCoin,KWH,N/A,N/A,N/A,N/A,N/A,366859178500000000 ETH,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.4,2018-03-15
Honeybee Token,HNBEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50000,12%,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,4.8,-,N/A,2018-07-01
Arcee Coin,ARCEE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-03-31
Bioritmai,RITM,Ethereum,ERC20,Belarus,N/A,N/A,Unknown,12127308500,6000000000,N/A,VERY HIGH,VERY LOW,VERY LOW,-,-,1,Benchy,3.0,1,2.0,2.0,-,-,-,2.8,2018-06-16
Volans ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,LOW,LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.7,7.9,3.1,N/A,2018-04-05
Wizzle Infinity,WZI,N/A,N/A,N/A,30,000,000 EUR,N/A,921179 USD,N/A,N/A,N/A,VERY LOW,LOW,LOW,-,LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.8,8.6,3.7,2.8,2018-03-31
STARAMBA,STT,Ethereum,ERC20,Germany,1,200,000,000,N/A,217949582179495800 USD,N/A,N/A,100%,-,VERY LOW,VERY LOW,-,-,10,Benchy,1.8,10,1.8,2.3,-,-,-,2.3,2018-09-30
Bitdollar ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,3.8,8.1,-,N/A,2018-10-03
KROPS,KRO,Ethereum,ERC20,Hong Kong,N/A,N/A,Unknown,N/A,N/A,N/A,-,-,-,-,-,9,Benchy,N/A,1,N/A,N/A,2.7,5.6,2.9,2.7,2018-04-30
Globetrotter Ecosystem,GTT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.2,2.9,N/A,2018-02-28
VOXXO ICO,VOXXO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,LOW,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,7.2,3.3,N/A,2018-03-05
Yurix,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-04-03
CROWDSHARE MINING,CSM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,-,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,5.1,-,N/A,2018-09-01
Moneda,,Ethereum,ERC20,Austria,250,000,000,10,000,000,Unknown,N/A,N/A,N/A,-,-,-,-,LOW,9,Benchy,3.0,5,3.0,3.0,3.0,7.8,-,3.0,2018-07-15
KROPS,KRO,Ethereum,ERC20,Hong Kong,N/A,N/A,Unknown,N/A,N/A,N/A,-,-,-,-,-,9,Benchy,N/A,1,N/A,N/A,2.7,5.6,2.9,2.7,2018-04-30
CrowdDrive,,Ethereum,13,300,000 CAR (70%),Switzerland,N/A,1500 ETH,Unknown,N/A,N/A,100%,-,-,-,-,-,3,Benchy,N/A,10,N/A,N/A,2.3,5.7,2.0,2.3,2018-01-10
CrediSco ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-01-08
XnodeFund,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-01
Vikky,VIK,Ethereum,ERC20,Australia,26600 ETH,5000 ETH,147000 USD,1200000000,300000000,N/A,-,MEDIUM,MEDIUM,-,LOW,8,Benchy,1.4,10,1.2,1.2,-,-,-,2.3,2018-07-31
VARcrypt,VAR,Bitcoin,11,000,000 VAR (26.19%),British Virgin Islands,34000000 USD,2000000 USD,Unknown,4200000000,4200000000,N/A,MEDIUM,LOW,LOW,-,-,5,Benchy,2.8,1,2.8,3.2,3.1,4.4,3.5,3.1,2018-01-14
MOBILINK-COIN,,N/A,N/A,N/A,N/A,N/A,N/A,550000000,19800000000,2%,-,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-05-05
Reference Line Coin,RECO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90000000,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-03-28
Greenenergy,GNRG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2750000,100%,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-09-15
Vionex ICO,VIOX,N/A,N/A,N/A,N/A,N/A,N/A,1000000000,400104000,40%,MEDIUM,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.0,4.9,2.3,N/A,2018-02-28
Save Token,SAVE,N/A,N/A,N/A,350,000,000,N/A,6987000 USD,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.9,2018-05-25
Sol Invictus ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-03-30
Smart City Enterprise,SMART CITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.0,7.3,2.2,N/A,2018-09-02
Vionex ICO,VIOX,N/A,N/A,N/A,N/A,N/A,N/A,1000000000,400104000,40%,MEDIUM,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.0,4.9,2.3,N/A,2018-02-28
Save Token,SAVE,N/A,N/A,N/A,350,000,000,N/A,6987000 USD,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.9,2018-05-25
