ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
Velix.ID,VXD,N/A,N/A,N/A,23800000 USD,2500000 USD,2500000 USD,VERY HIGH,MEDIUM,MEDIUM,LOW,-,N/A,Benchy,4.3,N/A,4.1,4.5,-,-,-,4.2
TraDove,BBC,Ethereum,ERC20,USA,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,-,MEDIUM,8,N/A,N/A,9.6,N/A,N/A,-,-,-,N/A
Enlte (ENLTE),ENLTE,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,4.4,7.4,4.7,N/A
Jibbit,JIB,Ethereum,ERC20,Germany,3000000 USD,1000000 USD,920000 USD,LOW,LOW,LOW,LOW,-,8,Benchy,4.7,9,3.9,3.9,4.1,8.7,-,4.1
Project Shivom,OMX,N/A,N/A,N/A,35000000 USD,15000 ETH,35000000 USD,HIGH,VERY HIGH,VERY HIGH,-,MEDIUM,N/A,Benchy,4.1,N/A,3.6,4.3,-,-,-,3.8
Nafen,NFN,Ethereum,ERC20,Estonia,"14,000,000 EUR","2,500,000 EUR",N/A,-,-,-,MEDIUM,-,7,Benchy,4.4,10,4.2,4.3,4.2,8.4,-,4.2
idap.io,IDAP,N/A,N/A,N/A,N/A,N/A,70000400000000 USD,HIGH,-,-,HIGH,-,N/A,Benchy,4.0,N/A,3.2,4.0,3.6,9.1,-,3.6
EOT,EOT,Ethereum,ERC20,Singapore,N/A,N/A,N/A,MEDIUM,HIGH,HIGH,MEDIUM,LOW,9,N/A,N/A,10,N/A,N/A,4.3,9.3,-,N/A
Efir,,Ethereum,ERC20,Russia,15000 ETH,1250 ETH,317668 USD,VERY HIGH,HIGH,HIGH,VERY HIGH,-,9,Benchy,N/A,10,N/A,N/A,3.9,9.1,2.4,3.9
L-pesa,LPK,Ethereum,ERC20,Gibraltar,52000000 USD,50000 USD,7961200 USD,VERY HIGH,-,-,VERY HIGH,MEDIUM,8,Benchy,4.1,10,3.7,4.3,-,-,-,3.7
FTEC,FTEC,Ethereum,ERC20,UK,26500 ETH,2000 ETH,995000 USD,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,-,10,Benchy,4.6,10,4.5,4.8,-,-,-,4.5
Mozo,MOZO,Ethereum,ERC-20,Singapore,N/A,N/A,N/A,-,LOW,LOW,LOW,MEDIUM,8,N/A,N/A,10,N/A,N/A,-,-,-,N/A
DACC,DACC,N/A,N/A,N/A,30000 ETH,20000 ETH,4746941 USD,-,VERY HIGH,VERY HIGH,LOW,HIGH,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.7
NEXO,NEXO,Ethereum,ERC-20,Switzerland,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,VERY HIGH,10,N/A,N/A,10,N/A,N/A,-,-,-,N/A
TraXion,TXN,Ethereum,ERC20,Philippines,50000000 USD,N/A,N/A,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,-,10,Benchy,4.6,9,4.3,4.5,-,-,-,4.3
DEEP AERO,DRONE,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.2,9.0,-,N/A
Etheal,HEAL,Ethereum,ERC20,Estonia,10000000 USD,4800000 USD,820000 USD,HIGH,HIGH,HIGH,-,LOW,8,Benchy,4.4,10,4.0,4.3,-,-,-,4.2
